aba;story_type;metric;description
Goleiro;gct_goalkeeping;Goalkeeper Actions Inside the Penalty Area;Todas as intervenções defensivas feitas pelo goleiro dentro da própria área penal, incluindo defesas e bolas agarradas ou afastadas com um soco.
Goleiro;gct_goalkeeping;Goalkeeper Actions Outside the Penalty Area;Todas as intervenções defensivas feitas pelo goleiro fora da sua área penal, que com frequência envolvem desarmes ou bolas afastadas.
Movimentação;gct_movement;Offers To Receive;É quando um jogador faz um sinal ativo, muda a postura corporal ou faz um movimento claro para receber a bola de um companheiro. 
Movimentação;gct_movement;Offers In Behind;É quando um jogador faz um sinal ativo, muda a postura corporal ou faz um movimento claro para receber a bola atrás da linha defensiva adversária.
Movimentação;gct_movement;Offers In Between;É quando um jogador faz um sinal ativo, muda a postura corporal ou faz um movimento claro para receber a bola dentro da forma coletiva ou entre os blocos do adversário.
Movimentação;gct_movement;Offers In Front;É quando um jogador faz um sinal ativo, muda a postura corporal ou faz um movimento claro para receber a bola na frente da forma coletiva do adversário.
Movimentação;gct_movement;Offers Inside Team Shape;É quando um jogador faz um sinal ativo, muda a postura corporal ou faz um movimento claro para receber a bola dentro da forma coletiva do adversário.
Movimentação;gct_movement;Offers Outside Team Shape;É quando um jogador faz um sinal ativo, muda a postura corporal ou faz um movimento claro para receber a bola fora da forma coletiva do adversário.
Movimentação;gct_movement;Receptions In Behind;Bolas recebidas com sucesso atrás da última linha defensiva do adversário, indicando a criação de uma ameaça.
Movimentação;gct_movement;Receptions Between Midfield And Defensive Line;Bolas recebidas com sucesso no espaço entre as linhas defensiva e de meio-campo do adversário, facilitando o avanço vertical da bola em direção ao gol.
Movimentação;gct_movement;Receptions Under Pressure;Situações em que um jogador recebe a bola enquanto é pressionado ou disputa ativamente a bola com um adversário.
Físico;gct_physical;Average Speed (km/h);A velocidade média de corrida de um jogador ao longo de uma partida, normalmente medida em km/h.
Físico;gct_physical;High Speed Running;Corridas de alta intensidade feitas por um jogador que excedem um limite de velocidade definido. Essa métrica é usada para medir o esforço físico.
Físico;gct_physical;Sprints;Movimentos explosivos em alta velocidade, geralmente medidos acima do limite estabelecido para uma arrancada.
Físico;gct_physical;Top Speed (km/h);A maior velocidade alcançada por um jogador durante a partida. Vale para um único jogador ou para a equipe coletivamente. 
Físico;gct_physical;Total Distance (km);A distância acumulada que um jogador percorre durante uma partida, registrada em metros ou quilômetros, em todas as velocidades e intensidades. Vale para um único jogador ou para a equipe coletivamente. 
