team_external_id;team_name_pt;team_name_en;rank_offers_to_receive_total;offers_to_receive_total;offers_to_receive_in_behind;offers_to_receive_in_between;offers_to_receive_in_front;offers_to_receive_inside;offers_to_receive_outside;receptions_in_behind;receptions_between_midfield_and_defensive_line;receptions_under_pressure;rank_offers_to_receive_in_behind;rank_offers_to_receive_in_between;rank_offers_to_receive_in_front;rank_offers_to_receive_inside;rank_offers_to_receive_outside;rank_receptions_in_behind;rank_receptions_between_midfield_and_defensive_line;rank_receptions_under_pressure
285023_43914;Panamá;Panama;38;889;239;366;284;418;471;28;248;532;39;38;36;40;35;31;36;36
285023_43928;Paraguai;Paraguay;45;734;187;296;251;371;363;20;258;646;47;43;41;43;44;40;34;27
285023_43963;Portugal;Portugal;10;1881;553;759;569;1021;860;63;579;988;4;5;11;9;10;6;4;5
285023_20014;RD do Congo;Congo DR;24;1237;342;542;353;730;507;22;323;636;25;18;29;20;29;36;27;30
285023_43817;RI do Irã;IR Iran;42;761;227;264;270;356;405;28;229;446;42;47;37;45;39;31;42;42
285023_43822;República da Coreia;Korea Republic;27;1201;267;427;507;657;544;40;274;678;35;31;16;27;25;21;32;24
285023_43879;Senegal;Senegal;17;1486;462;526;498;866;620;54;460;988;14;20;18;15;17;12;13;5
285023_43970;Suécia;Sweden;31;1065;285;427;353;611;454;35;338;620;33;31;29;29;36;27;25;32
285023_43971;Suíça;Switzerland;19;1319;412;502;405;811;508;55;417;758;18;22;25;18;28;9;19;20
285023_43995;Tchéquia;Czechia;44;740;232;305;203;371;369;19;245;439;40;42;46;43;43;41;38;43
285023_43888;Tunísia;Tunisia;35;1000;287;448;265;547;453;18;196;405;31;28;38;35;37;43;45;47
285023_43972;Turquia;Türkiye;21;1275;409;428;438;681;594;41;378;709;19;30;21;25;21;20;23;22
285023_43930;Uruguai;Uruguay;29;1182;436;399;347;599;583;45;311;586;17;34;31;30;22;17;29;33
285023_44005;Uzbequistão;Uzbekistan;40;801;197;382;222;456;345;16;246;458;45;36;44;38;45;45;37;41
285023_43883;África do Sul;South Africa;26;1212;359;458;395;669;543;29;283;634;24;27;26;26;26;30;31;31
285023_43934;Áustria;Austria;25;1234;323;486;425;686;548;48;382;789;27;23;22;23;24;14;20;19
